text,label
World Health Organization declares new global guidelines on public vaccination and hygiene protocols following international clinical trials.,0
Federal Reserve keeps benchmark interest rates unchanged as inflation moderates towards the central bank target.,0
NASA's James Webb Space Telescope discovers atmospheric carbon dioxide on a distant exoplanet 700 light-years away.,0
European Parliament votes overwhelmingly in favor of landmark comprehensive artificial intelligence regulatory framework.,0
"Renewable energy installations hit historic global record in 2023, led by rapid solar and wind deployment across Asia and Europe.",0
United Nations Climate Summit concludes with historic agreement establishing a loss and damage fund for vulnerable developing nations.,0
Tech giant Microsoft announces multi-billion dollar capital investment in carbon-neutral data centers across northern Europe.,0
Researchers at MIT publish breakthrough peer-reviewed study on solid-state lithium metal battery endurance and charge speed.,0
Bank of England warns mortgage rates may remain elevated for longer despite modest declines in headline inflation.,0
Global semiconductor manufacturers break ground on advanced manufacturing fabrication facility in Dresden with state subsidies.,0
Supreme Court issues unanimous ruling upholding environmental protections on interstate waterways and coastal wetlands.,0
World Trade Organization reports moderate rebound in global merchandise trade volume despite regional geopolitical conflicts.,0
Pfizer and BioNTech initiate Phase 3 clinical trial for combined influenza and coronavirus messenger RNA vaccine.,0
Aviation regulator FAA orders comprehensive structural inspections of Boeing passenger airliners after maintenance review.,0
Japan's central bank ends negative interest rate policy after seventeen years of monetary accommodation.,0
International Olympic Committee confirms host cities for upcoming summer and winter Olympic games following executive board ballot.,0
Astronomers detect unprecedented gravitational wave signals from merging supermassive neutron stars using LIGO observatories.,0
Department of Labor reports national unemployment rate holding steady at 3.7 percent alongside steady payroll additions.,0
Health Canada approves innovative immunotherapy treatment for adults diagnosed with advanced melanoma skin cancer.,0
Electric vehicle market share surpasses 20 percent of new passenger car registrations in European Union nations.,0
Archaeologists excavate intact Roman mosaic and thermal bath complex during municipal infrastructure expansion in northern Italy.,0
International Monetary Fund upgrades global economic growth forecast citing resilient consumer spending and labor supply.,0
Nobel Prize in Physiology or Medicine awarded to pioneering scientists for nucleoside base modifications enabling mRNA vaccines.,0
Telecommunications authority issues national spectrum licenses for next-generation rural broadband and satellite connectivity.,0
Australian meteorological bureau reports widespread rainfall easing prolonged drought conditions across eastern agricultural basins.,0
South Korean technology firm Samsung begins mass production of cutting-edge memory chips designed for generative AI workloads.,0
